2024-05-20 22:41:09,001 - INFO - Time: 2024-05-20 22:41:09.001288, OrderId: 1000512859561, Instruction: BUY_TO_COVER, Quantity: 200.0, Position: 0.0
2024-05-20 22:41:09,001 - INFO - Time: 2024-05-20 22:41:09.001351, OrderId: 1000512859567, Instruction: BUY, Quantity: 50.0, Position: 50.0
2024-05-20 22:41:09,001 - INFO - Time: 2024-05-20 22:41:09.001413, OrderId: 1000512859571, Instruction: SELL, Quantity: 50.0, Position: 0.0
2024-05-20 22:41:09,001 - INFO - Time: 2024-05-20 22:41:09.001475, OrderId: 1000512859577, Instruction: SELL_SHORT, Quantity: 50.0, Position: 0.0
2024-05-20 22:41:09,001 - INFO - Time: 2024-05-20 22:41:09.001536, OrderId: 1000512859581, Instruction: SELL_SHORT, Quantity: 50.0, Position: 0.0
2024-05-20 22:41:09,001 - INFO - Time: 2024-05-20 22:41:09.001597, OrderId: 1000512859589, Instruction: SELL_SHORT, Quantity: 50.0, Position: 0.0
2024-05-20 22:41:09,001 - INFO - Time: 2024-05-20 22:41:09.001659, OrderId: 1000512859591, Instruction: SELL_SHORT, Quantity: 50.0, Position: 0.0
2024-05-20 22:41:09,001 - INFO - Time: 2024-05-20 22:41:09.001720, OrderId: 1000512859598, Instruction: SELL_SHORT, Quantity: 50.0, Position: 0.0
2024-05-20 22:41:09,001 - INFO - Time: 2024-05-20 22:41:09.001781, OrderId: 1000512859619, Instruction: BUY_TO_COVER, Quantity: 250.0, Position: 0.0
2024-05-20 22:41:09,001 - INFO - Time: 2024-05-20 22:41:09.001843, OrderId: 1000513508943, Instruction: BUY, Quantity: 50.0, Position: 50.0
2024-05-20 22:41:09,001 - INFO - Time: 2024-05-20 22:41:09.001905, OrderId: 1000513508946, Instruction: SELL, Quantity: 50.0, Position: 0.0
2024-05-20 22:41:09,001 - INFO - Time: 2024-05-20 22:41:09.001976, OrderId: 1000513508948, Instruction: SELL_SHORT, Quantity: 50.0, Position: 0.0
2024-05-20 22:41:09,002 - INFO - Time: 2024-05-20 22:41:09.002043, OrderId: 1000513508950, Instruction: SELL_SHORT, Quantity: 50.0, Position: 0.0
2024-05-20 22:41:09,002 - INFO - Time: 2024-05-20 22:41:09.002104, OrderId: 1000513508952, Instruction: SELL_SHORT, Quantity: 50.0, Position: 0.0
2024-05-20 22:41:09,002 - INFO - Time: 2024-05-20 22:41:09.002166, OrderId: 1000513508954, Instruction: SELL_SHORT, Quantity: 50.0, Position: 0.0
2024-05-20 22:41:09,002 - INFO - Time: 2024-05-20 22:41:09.002227, OrderId: 1000513508956, Instruction: SELL_SHORT, Quantity: 50.0, Position: 0.0
2024-05-20 22:41:09,002 - INFO - Time: 2024-05-20 22:41:09.002289, OrderId: 1000513508961, Instruction: SELL_SHORT, Quantity: 30.0, Position: 0.0
